Name, EA,formula
rubidium chloride,0.543000,ClRb
Et2NO anion,0.544000,C4H10NO-
Benzo[c]phenanthrene,0.545000,C18H12
(toluene)63 radical anion,0.548000,C441H504-
sodium,0.548000,Na
(H2O)9 radical anion,0.550000,H18O9-
O2C(CH2)3CO2 dianion,0.550000,C5H6O4-2
PdCl4 dianion,0.550000,Cl4Pb-2
Ammonia anion,0.550000,H123N41-
(benzene)106 radical anion,0.550000,C636H636-
"1,3,5,7-Cyclooctatetraene",0.550000,C8H8
Dimethyl phthalate,0.550000,C10H10O4
"1,3-Benzenedicarboxylic acid, dimethyl ester",0.550000,C10H10O4
Carbon disulfide,0.552000,CS2
(benzene)112 radical anion,0.555000,C672H672-
CH2=CMe anion,0.555000,C3H5-
o-benzyne-d4 radical,0.556000,C6D4
PhCO anion,0.557000,C7H5O-
(toluene)69 radical anion,0.561000,C483H552-
palladium,0.562000,Pd
HCr,0.563000,CrH
(Ar)12..NO anion,0.566000,Ar12NO-
(benzene)124 radical anion,0.568000,C744H744-
MeCOCH2CH2 anion,0.568000,C4H7O-
(toluene)75 radical anion,0.569000,C525H600-
Nitric acid,0.570000,HNO3
AgH anion,0.570000,AgH-
cerium,0.570000,Ce
(H2O)2..thymine radical anion,0.570000,C5H10N2O4-
"1,2,3-triphenyl-cyclopropenide anion",0.572000,C21H15-
(toluene)81 radical anion,0.575000,C567H648-
Quinazoline,0.577000,C8H6N2
"Ethanone, 1-(3-fluorophenyl)-",0.577000,C8H7FO
NH3..(NH4+) dianion,0.578000,H7N2-2
(Ar)13..NO anion,0.580000,Ar13NO-
"9,10-diMe-anthracene radical anion",0.580000,C16H14-
(acenaphthene)8 radical anion,0.580000,C96H80-
(toluene)87 radical anion,0.582000,C609H696-
(NH3)13..Na anion,0.582000,H39N13Na-
potassium chloride,0.582000,ClK
"Ethanone, 1-(4-chlorophenyl)-",0.585000,C8H7ClO
Phosphorus dimer,0.589000,P2
(Ar)14..NO anion,0.589000,Ar14NO-
9-Me-anthracene radical anion,0.590000,C15H12-
(H2O)10 radical anion,0.590000,H20O10-
(biphenyl)6 radical anion,0.590000,C72H60-
"Dibenz[a,j]anthracene",0.591000,C22H14
(toluene)93 radical anion,0.592000,C651H744-
lithium chloride,0.593000,ClLi
"Dibenz[a,h]anthracene",0.595000,C22H14
tin monoxide,0.598000,OSn
naphthalen-3-yl-2-ide anion,0.598000,C10H6-
"Ethanone, 1-(1-Naphthalenyl)-",0.598000,C12H10O
Si3O3 anion,0.600000,O3Si3-
"(2,2'-bis(thiophene))3 radical anion",0.600000,C24H18S6-
"1,5-dehydroquadricyclanane radical anion",0.600000,C7H6-
CF3CO anion,0.600000,C2F3O-
(CF3)2C radical,0.600000,C3F6
(NaF)5 radical,0.600000,F5Na5
C78 dianion,0.600000,C78-2
(m-terphenyl)4 radical anion,0.600000,C72H56-
Li3O anion,0.600000,Li3O-
HfO anion,0.600000,HfO-
PdCO anion,0.604000,COPd-
(toluene)99 radical anion,0.605000,C693H792-
(toluene)109 radical anion,0.609000,C763H872-
(o-terphenyl)4 radical anion,0.610000,C72H56-
TiCl3 anion,0.610000,Cl3Ti-
(NH3)2..Li anion,0.610000,H6LiN2-
(NH3)3..Li anion,0.610000,H9LiN3-
9-Bromoanthracene,0.610000,C14H9Br
InCl2 anion,0.611000,Cl2In-
